"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.019243317E0,2.065205574E-2,2.877825499E-2,7.460212708E-2
3.029405670E0,2.903461456E-3,1.244634390E-2,7.564353943E-2
3.039568024E0,-1.207563281E-2,-8.733421564E-3,6.727981567E-2
3.049730377E0,9.000658989E-3,5.789250135E-4,-4.283046722E-2
3.059892731E0,3.689524531E-2,1.204322278E-2,-1.340961456E-2
3.070085602E0,2.507600188E-2,3.013162315E-2,8.825492859E-2
3.080247955E0,-4.933655262E-3,4.317303002E-2,-8.035659790E-3
3.090379791E0,9.273678064E-3,4.505945742E-2,-1.259412766E-1
3.100542145E0,2.301356196E-2,5.020314455E-2,-5.283355713E-2
3.110704498E0,5.304270983E-2,4.330126941E-2,6.976127625E-3
3.120866852E0,4.133462906E-2,6.415726244E-2,-2.621364594E-2
3.131059723E0,-2.195221186E-2,5.807054043E-2,-3.755569458E-2
3.141222077E0,-5.402582884E-2,5.200833082E-2,-2.273750305E-2
3.151384430E0,-3.606441617E-2,6.751281023E-2,-1.283073425E-2
3.161546784E0,-1.649767160E-2,7.815268636E-2,2.055358887E-2
3.171709137E0,2.285808325E-3,9.316530824E-2,5.566692352E-2
3.181871491E0,2.755582333E-2,8.394247293E-2,4.759597778E-2
3.192033844E0,3.334808350E-2,6.531459093E-2,3.261375427E-2
3.202196198E0,2.025684714E-2,4.681485891E-2,2.263832092E-2
3.212358551E0,1.241859794E-2,2.585798502E-2,3.180694580E-2
3.222520905E0,7.493644953E-3,1.866176724E-2,5.260276794E-2
3.232683258E0,8.035719395E-3,-3.517776728E-3,4.474639893E-2
3.242845612E0,-5.149751902E-3,-4.446417093E-3,-8.163452148E-4
3.253007965E0,-1.065999269E-2,1.814305782E-3,-4.553890228E-2
3.263170319E0,-9.376704693E-3,1.301527023E-3,-3.748893738E-2
3.273332672E0,-3.738671541E-3,-1.322954893E-3,1.054668427E-2
3.283495026E0,8.838832378E-3,1.219683886E-2,2.936267853E-2
3.293657379E0,1.704096794E-4,5.831003189E-3,2.427577972E-2
3.303819733E0,-1.201778650E-3,-5.602747202E-3,5.074501038E-3
3.313982086E0,-7.328838110E-3,-2.809822559E-3,-1.870155334E-3
3.324144440E0,-3.949016333E-3,9.489923716E-3,-1.632690430E-3
3.334306793E0,-6.726980209E-4,1.208561659E-2,-3.220176697E-2
3.344469147E0,-1.800000668E-3,9.754866362E-3,-8.825874329E-2
3.354631500E0,-1.215404272E-2,9.954214096E-3,-1.125478745E-1
3.364793854E0,-1.969078183E-2,8.033216000E-3,-6.781673431E-2
3.374956207E0,-1.037409902E-2,3.622412682E-3,2.332687378E-2
3.385118561E0,-1.098215580E-3,3.418177366E-2,8.220195770E-2
3.395311432E0,8.259505033E-3,6.108421087E-2,5.973052979E-2
3.405473786E0,-2.445891500E-2,9.432813525E-2,-3.313827515E-2
3.415636139E0,-3.530880809E-2,1.115769446E-1,-5.814456940E-2
3.425798493E0,-3.542014956E-2,1.225858033E-1,-2.573966980E-3
3.435960846E0,-4.579520226E-2,1.292139590E-1,1.641750336E-2
3.446123200E0,-6.987193227E-2,1.174559295E-1,-1.660947800E-1
3.456285553E0,-3.470405936E-2,8.227473497E-2,-3.637886047E-1
3.466447907E0,6.605437398E-2,2.686211467E-2,6.418991089E-2
3.476610260E0,1.224609911E-1,-5.555510521E-3,5.846481323E-1
3.486772614E0,1.667732596E-1,-3.351479769E-2,3.406105042E-1
3.496934967E0,8.184480667E-2,-1.715078950E-2,-2.880096436E-2
3.507097321E0,-5.544534326E-2,1.423951983E-2,-3.895730972E-1
3.517259674E0,-1.154744029E-1,1.724037528E-2,-3.542690277E-1
3.527422028E0,-8.191740513E-2,-2.762156725E-2,-6.014156342E-2
3.537584381E0,1.649886370E-2,-7.253524661E-2,2.006607056E-1
3.547746735E0,9.160733223E-2,-7.647356391E-2,2.800531387E-1
3.557909088E0,8.168855309E-2,-3.842860460E-2,1.339168549E-1
3.568071442E0,1.168352365E-2,2.313357592E-2,-9.920501709E-2
3.578233795E0,-6.390321255E-2,1.122309566E-1,-2.222156525E-1
3.588396149E0,-8.534815907E-2,1.817586720E-1,-1.815299988E-1
3.598558502E0,-5.272594094E-2,2.008762062E-1,-3.296184540E-2
3.608720856E0,-4.655659199E-3,1.832216084E-1,7.443141937E-2
3.618883209E0,3.154149652E-2,1.293002367E-1,9.794139862E-2
3.629045563E0,4.449516535E-2,6.502783298E-2,5.218410492E-2
3.639238434E0,1.294258237E-2,1.405122876E-2,4.272460938E-3
3.649400788E0,-1.052317023E-2,-2.334854007E-2,-2.432823181E-2
3.659563141E0,-6.961941719E-3,-2.054956555E-2,-4.996299744E-3
3.669725495E0,1.146242023E-2,-1.340150833E-3,-2.416610718E-3
3.679887848E0,1.310214400E-2,2.251747251E-2,2.644634247E-2
3.690050202E0,7.057279348E-3,5.125707388E-2,4.324150085E-2
3.700212555E0,5.246371031E-3,5.156582594E-2,4.562091827E-2
3.710374909E0,-1.121550798E-2,3.501233459E-2,5.713272095E-2
3.720537262E0,-2.998557687E-2,2.564066648E-2,5.621528625E-2
3.730699616E0,-2.015960217E-2,1.144626737E-2,6.235408783E-2
3.740861969E0,2.990588546E-2,8.990645409E-3,-4.023075104E-2
3.751024323E0,3.138598800E-2,2.746132016E-2,4.581928253E-2
3.761186676E0,-8.322089911E-3,5.233633518E-2,1.063928604E-1
3.771349030E0,-2.709546685E-2,6.251674891E-2,-1.836967468E-2
3.781511383E0,-4.145652056E-3,6.877842546E-2,-1.335878372E-1
3.791673737E0,2.300423384E-2,7.390195131E-2,-1.169643402E-1
3.801836090E0,4.230380058E-2,7.031169534E-2,-2.980327606E-2
3.811998444E0,2.336540818E-2,6.910216808E-2,2.499961853E-2
3.822135605E0,-6.584614515E-3,4.835101962E-2,-2.496814728E-2
3.832297959E0,-2.887752652E-2,5.603736639E-2,-5.747795105E-2
3.842460312E0,-3.475216031E-2,7.105842233E-2,-4.385948181E-3
